Root word,Word,Phonetic,Type,Vietnamese meaning
COUNSELLOR,Counsellor,/ˈkaʊnsələr/,n,Cố vấn viên
COURAGE,Courage,/ˈkɜːrɪdʒ/,n,Lòng can đảm
CRAFT VILLAGE,Craft village,/kræft ˈvɪlɪdʒ/,np,Làng nghề
CRIME,Crime,/kraɪm/,n,Tội ác
CRITICAL THINKING,Critical thinking,/ˌkrɪtɪkl ˈθɪŋkɪŋ/,np,Tư duy phản biện
CROWDED,Crowded,/ˈkraʊdɪd/,a,Đông đúc
CRUISE,Cruise,/kruːz/,n,Du thuyền
CUISINE,Cuisine,/kwɪˈziːn/,n,Ẩm thực
CUSTOM,Custom,/ˈkʌstəm/,n,Phong tục; tập quán
DAMAGE,Damage,/ˈdæmɪdʒ/,n,Thiệt hại
DAMAGE,Damage,/ˈdæmɪdʒ/,v,Gây hư hại
DEADLINE,Deadline,/ˈdedlaɪn/,n,Hạn chót
DECIDE,Decide,/dɪˈsaɪd/,v,Quyết định
DECIDE,Decision,/dɪˈsɪʒn/,n,Sự quyết định
DECIDE,Decisive,/dɪˈsaɪsɪv/,a,Quyết đoán
DEDICATED,Dedicated,/ˈdedɪkeɪtɪd/,a,Tận tụy
DEEP-ROOTED,Deep-rooted,/ˌdiːp ˈruːtɪd/,a,Bắt rễ sâu
DEER,Deer,/dɪr/,n,Con nai; con hươu
DEFINITELY,Definitely,/ˈdefɪnətli/,adv,Chắc chắn rồi
DELAY,Delay,/dɪˈleɪ/,v,Trì hoãn
DELICIOUS,Delicious,/dɪˈlɪʃəs/,a,Thơm ngon
DELIVERY PERSON,Delivery person,/dɪˈlɪvəri pɜːrsn/,np,Người giao hàng
DEMANDING,Demanding,/dɪˈmændɪŋ/,a,Đòi hỏi khắt khe
DEMOCRATIC,Democratic,/ˌdeməˈkrætɪk/,a,Dân chủ
DEMOCRATIC,Democracy,/dɪˈmɔːkrəsi/,n,Nền dân chủ
DESCRIPTION,Description,/dɪˈskrɪpʃn/,n,Sự miêu tả; sự mô tả
DESCRIPTION,Describe,/dɪˈskraɪb/,v,Mô tả; miêu tả
DESCRIPTION,Descriptive,/dɪˈskrɪptɪv/,a,Mang tính mô tả
DESERT,Desert,/ˈdezərt/,n,Sa mạc; hoang mạc
DESKTOP,Desktop,/ˈdesktɔːp/,n,Máy tính để bàn
DESSERT,Dessert,/dɪˈzɜːrt/,n,Món tráng miệng
DESTINATION,Destination,/ˌdestɪˈneɪʃn/,n,Điểm đến; đích đến
DESTROY,Destroy,/dɪˈstrɔɪ/,v,Hủy hoại; phá hủy
DESTROY,Destruction,/dɪˈstrʌkʃn/,n,Sự phá hủy
DESTROY,Destructive,/dɪˈstrʌktɪv/,a,Gây tổn thất; phá hoại
DETAILED,Detailed,/ˈdiːteɪld/,a,Chi tiết
DEVELOP,Develop,/dɪˈveləp/,v,Phát triển
DEVELOP,Developing,/dɪˈveləpɪŋ/,a,Đang phát triển
DEVELOP,Developed,/dɪˈveləpt/,a,Đã phát triển
DEVELOP,Development,/dɪˈveləpmənt/,n,Sự phát triển
DIAGRAM,Diagram,/ˈdaɪəɡræm/,n,Biểu đồ; sơ đồ
DIET,Diet,/ˈdaɪət/,n,Chế độ ăn kiêng
DIFFERENT,Different,/ˈdɪfrənt/,a,Khác nhau
DIFFERENT,Differ,/ˈdɪfər/,v,Khác biệt
DIFFERENT,Difference,/ˈdɪfrəns/,n,Sự khác biệt
DIGITAL,Digital,/ˈdɪdʒɪtl/,a,Điện tử; kỹ thuật số
DISASTER,Disaster,/dɪˈzæstər/,n,Thảm họa
DISCOUNT,Discount,/ˈdɪskaʊnt/,n,Giảm giá; chiết khấu
DISCOVER,Discover,/dɪˈskʌvər/,v,Phát hiện; khám phá ra
DISCOVER,Discovery,/dɪˈskʌvəri/,n,Khám phá
DISPLAY,Display,/dɪˈspleɪ/,n,Sự sắp xếp; sự trưng bày
DISTANCE,Distance,/ˈdɪstəns/,n,Khoảng cách
DISTRACT,Distract,/dɪˈstrækt/,v,Làm sao lãng
DISTRACT,Distraction,/dɪˈstrækʃn/,n,Phân tâm
DIVERSITY,Diversity,/daɪˈvɜːrsəti/,n,Sự đa dạng
DOCUMENT,Document,/ˈdɔːkjumənt/,n,Tài liệu; công văn
DOMESTIC,Domestic,/dəˈmestɪk/,a,Nội địa; trong nước
DOMESTIC TOURISM,Domestic tourism,/dəˈmestɪk ˈtʊrɪzəm/,np,Du lịch nội địa
DOWNTOWN,Downtown,/ˌdaʊnˈtaʊn/,adv,Trung tâm thành phố
DRAWBACK,Drawback,/ˈdrɔːbæk/,n,Hạn chế
DROP-OFF,Drop-off,/ˈdrɔːp ɔːf/,n,Trả khách; thả khách
DUE DATE,Due date,/ˈduː deɪt/,np,Ngày đáo hạn
DYE,Dye,/daɪ/,v,Nhuộm
DYNASTY,Dynasty,/ˈdæməsti/,n,Vương triều
EARTH,Earth,/ɜːrθ/,n,Trái đất
ECOLOGICAL BALANCE,Ecological balance,/ˌiːkəˌlɒdʒɪkl ˈbæləns/,np,Cân bằng sinh thái
