Root word,Word,Phonetic,Type,Vietnamese meaning
PREY,Prey,/preɪ/,n,Con mồi
PRINT MATERIAL,Print material,/prɪnt məˈtɪəriəl/,np,Tài liệu in
PRINTER,Printer,/ˈprɪntər/,n,Máy in
PRIVACY,Privacy,/ˈprɪvəsi/,n,Sự riêng tư; quyền riêng tư
PROBLEM-SOLVING SKILL,Problem-solving skill,/ˈprɒbləm sɒlvɪŋ skɪl/,np,Kỹ năng giải quyết vấn đề
PROCESS,Process,/ˈprəʊses/,n,Quá trình; quy trình
PRODUCT,Product,/ˈprɒdʌkt/,n,Sản phẩm
PRODUCT,Production,/prəˈdʌkʃn/,n,Sự sản xuất
PRODUCT,Productivity,/ˌprɒdʌkˈtɪvɪti/,n,Năng suất
PRODUCT,Produce,/prəˈduːs/,v,Sản xuất
PRODUCT,Producer,/prəˈduːsər/,n,Nhà sản xuất
PROFESSOR,Professor,/prəˈfesər/,n,Giáo sư
PROPERTY,Property,/ˈprɒpərti/,n,Tài sản
PROPOSE,Propose,/prəˈpəʊz/,v,Đề xuất; cầu hôn
PROTECT,Protection,/prəˈtekʃn/,n,Sự bảo vệ
PUBLIC,Public transport,/ˌpʌblɪk ˈtrænspɔːrt/,np,Giao thông công cộng
PUBLIC,Public amenity,/ˌpʌblɪk əˈmenɪti/,np,Tiện ích công cộng
RAINFALL,Rainfall,/ˈreɪnfɔːl/,n,Lượng mưa
RAINFOREST,Rainforest,/ˈreɪnfɒrɪst/,n,Rừng mưa nhiệt đới
RECOGNIZE,Recognize,/ˈrekəɡnaɪz/,v,Nhận ra
RECOGNIZE,Recognition,/ˌrekəɡˈnɪʃn/,n,Sự công nhận
REFERENCE,Reference,/ˈrefrəns/,n,Tài liệu tham khảo
REFLECT,Reflect,/rɪˈflekt/,v,Phản ánh; phản chiếu
RELIABLE,Reliable,/rɪˈlaɪəbl/,a,Đáng tin cậy
RELIC,Relic,/ˈrelɪk/,n,Di tích; di vật
REPEAT,Repeat,/rɪˈpiːt/,v,Lặp lại; nhắc lại
REPEAT,Repetition,/ˌrepəˈtɪʃn/,n,Sự lặp đi lặp lại
REPEAT,Repetitive,/rɪˈpetətɪv/,a,Có tính lặp đi lặp lại
REPLACE,Replace,/rɪˈpleɪs/,v,Thay thế
REPTILE,Reptile,/ˈreptaɪl/,n,Loài bò sát
RESIDENT,Resident,/ˈrezɪdənt/,n,Người dân; cư dân
RISKY,Risky,/ˈrɪski/,a,Mạo hiểm
ROBOT,Robot,/ˈrəʊbɒt/,n,Người máy
ROBOT,Robotics,/rəʊˈbɒtɪks/,n,Khoa học người máy
ROBOT,Robotic,/rəʊˈbɒtɪk/,a,Thuộc người máy
ROBOT,Robotically,/rəʊˈbɒtɪkli/,adv,Bằng rô-bốt
ROCKY,Rocky,/ˈrɒki/,a,Lởm chởm đá; bằng đá
ROCKY CLIFF,Rocky cliff,/ˈrɒki klɪf/,np,Vách núi đá
ROYAL,Royal,/ˈrɔɪəl/,a,Hoàng gia
RUBBER,Rubber,/ˈrʌbər/,n,Cao su
RUBBISH,Rubbish,/ˈrʌbɪʃ/,n,Rác rưởi
RUINOUS SITE,Ruinous site,/ˈruːɪnəs/,np,Địa điểm đổ nát
RUSH HOUR,Rush hour,/ˈrʌʃ aʊər/,np,Giờ cao điểm
SAFARI,Safari,/səˈfɑːri/,n,Cuộc đi săn; hành trình việt dã
SAND DUNE,Sand dune,/ˈsænd duːn/,np,Cồn cát; đồi cát
SATELLITE,Satellite,/ˈsætəlaɪt/,n,Vệ tinh
SCAN,Scan,/skæn/,v,Quét
SCANNER,Scanner,/ˈskænər/,n,Máy quét
SCENERY,Scenery,/ˈsiːnəri/,n,Phong cảnh
SCHEDULE,Schedule,/ˈskedʒuːl/,n,Lịch trình
SCIENCE,Science,/ˈsaɪəns/,n,Khoa học
SCIENCE,Scientist,/ˈsaɪəntɪst/,n,Nhà khoa học
SCIENCE,Scientific,/ˌsaɪənˈtɪfɪk/,a,Mang tính khoa học
SCIENCE,Scientifically,/ˌsaɪənˈtɪfɪkli/,adv,Một cách khoa học
SEAFOOD,Seafood,/ˈsiːfuːd/,n,Hải sản; thủy sản
SELF-GUIDED TOUR,Self-guided tour,/ˌself ˈɡaɪdɪd tʊər/,np,Chuyến tham quan tự túc
SELF-PORTRAIT,Self-portrait,/ˌself ˈpɔːrtrət/,n,Chân dung tự họa
SESSION,Session,/ˈseʃn/,n,Phiên; khóa; buổi
SHOP ASSISTANT,Shop assistant,/ˈʃɒp əˌsɪstənt/,np,Nhân viên bán hàng
SHOPPING HOLIDAY,Shopping holiday,/ˈʃɒpɪŋ ˈhɒlədeɪ/,np,Ngày lễ mua sắm
SIGNIFICANT,Significant,/sɪɡˈnɪfɪkənt/,a,Đáng kể; quan trọng
SIGNIFICANT,Significance,/sɪɡˈnɪfɪkəns/,n,Ý nghĩa; sự quan trọng
SIGNIFICANT,Significantly,/sɪɡˈnɪfɪkəntli/,adv,Đáng kể; đáng chú ý
