Root word,Word,Phonetic,Type,Vietnamese meaning
BIOGAS,Biogas,/ˈbaɪəʊɡæs/,n,Khí sinh học
BOOK,Book,/bʊk/,v,Đặt trước
BOOST,Boost,/buːst/,v,Tăng cường
BRILLIANT,Brilliant,/ˈbrɪliənt/,a,Xuất sắc; rực rỡ
BUDGET,Budget,/ˈbʌdʒɪt/,n,Ngân sách
BULLY,Bullying,/ˈbʊlɪŋ/,n,Sự bắt nạt
BULLY,Bully,/ˈbʊli/,n,Kẻ bắt nạt
BULLY,Bully,/ˈbʊli/,v,Bắt nạt; ức hiếp
BUSINESS MANAGEMENT,Business management,/ˈbɪznəs ˈmænɪdʒmənt/,np,Quản lý kinh doanh; quản lý doanh nghiệp
BUSTLING,Bustling,/ˈbʌslɪŋ/,a,Nhộn nhịp; tấp nập
CALCULATE,Calculator,/ˈkælkjʊleɪtər/,n,Máy tính cầm tay
CALCULATE,Calculation,/ˌkælkjʊˈleɪʃn/,n,Phép tính; sự tính toán
CALCULATE,Calculate,/ˈkælkjʊleɪt/,v,Tính toán
CAMCORDER,Camcorder,/ˈkæmkɔːrdər/,n,Máy quay phim
CAMEL,Camel,/ˈkæml/,n,Lạc đà
CANYON,Canyon,/ˈkænjən/,n,Hẻm núi
CAR EXHAUST,Car exhaust,/kɑːr ɪɡˈzɔːst/,np,Khí thải xe hơi; ống xả ô tô
CARDBOARD,Cardboard,/ˈkɑːrdbɔːrd/,n,Các tông; bìa các tông
CAREER,Career,/kəˈrɪər/,n,Nghề nghiệp; sự nghiệp
CASHIER,Cashier,/kæˈʃɪər/,n,Thu ngân
CASTLE,Castle,/ˈkæsl/,n,Lâu đài
CELEBRATE,Celebrate,/ˈselɪbreɪt/,v,Kỉ niệm; tổ chức; ăn mừng
CELEBRITY,Celebrity,/səˈlebrəti/,n,Người nổi tiếng
CHARMING,Charming,/ˈtʃɑːrmɪŋ/,a,Quyến rũ
CHECK-UP,Check-up,/ˈtʃekʌp/,n,Kiểm tra
CHEMIST'S,Chemist's,/ˈkemɪsts/,n,Hiệu thuốc
CHOOSE,Choose,/tʃuːz/,v,Chọn
CHOOSE,Choice,/tʃɔɪs/,n,Sự lựa chọn
CITY AUTHORITY,City authority,/ˈsɪti əˈθɔːrəti/,np,Chính quyền thành phố
CLAY,Clay,/kleɪ/,n,Đất sét
CLIMATE CHANGE,Climate change,/ˈklaɪmət tʃeɪndʒ/,np,Biến đổi khí hậu
COASTAL,Coastal,/ˈkəʊstl/,a,Duyên hải; ven biển
COASTLINE,Coastline,/ˈkəʊstlaɪn/,n,Đường bờ biển
COLLECT,Collect,/kəˈlekt/,v,Sưu tầm; thu thập
COLLECT,Collector,/kəˈlektər/,n,Nhà sưu tầm
COLLECT,Collection,/kəˈlekʃn/,n,Bộ sưu tập
COMMUNAL,Communal,/kəˈmjuːnl/,a,Chung
COMMUNAL,Community,/kəˈmjuːnəti/,n,Cộng đồng
COMPLICATED,Complicated,/ˈkɒmplɪkeɪtɪd/,a,Phức tạp
CONCENTRIC,Concentric,/kənˈsentrɪk/,a,Đồng tâm
CONCRETE JUNGLE,Concrete jungle,/ˌkɒŋkriːt ˈdʒʌŋɡl/,np,Khu rừng bê-tông (thành phố)
CONFLICT,Conflict,/ˈkɒnflɪkt/,n,Xung đột; mâu thuẫn
CONFLICT,Conflict,/ˈkɒnflɪkt/,v,Xung đột; mâu thuẫn
CONGEST,Congested,/kənˈdʒestɪd/,a,Tắc nghẽn
CONGEST,Congestion,/kənˈdʒestʃən/,n,Sự tắc nghẽn
CONGEST,Congest,/kənˈdʒest/,v,Làm tắc nghẽn
CONNECT,Connect,/kəˈnekt/,v,Kết nối
CONNECT,Connected,/kəˈnektɪd/,a,Đã kết nối
CONNECT,Connection,/kəˈnekʃn/,n,Sự liên quan; sự kết nối
CONSIDER,Consider,/kənˈsɪdər/,v,Cân nhắc; xem xét
CONSISTENTLY,Consistently,/kənˈsɪstəntli/,adv,Một cách nhất quán
CONSONANT,Consonant,/ˈkɒnsənənt/,n,Phụ âm
CONSTRUCTION SITE,Construction site,/kənˈstrʌkʃn saɪt/,np,Công trường xây dựng
CONSULT,Consult,/kənˈsʌlt/,v,Tư vấn
CONSUMER,Consumer,/kənˈsuːmər/,n,Người tiêu dùng
CONTINENT,Continent,/ˈkɒntɪnənt/,n,Lục địa; châu lục
CONTRIBUTE,Contribution,/ˌkɒntrɪˈbjuːʃn/,n,Sự đóng góp
CONTRIBUTE,Contribute,/kənˈtrɪbjuːt/,v,Đóng góp
CONVENIENT,Convenient,/kənˈviːniənt/,a,Thuận lợi; thuận tiện
CONVENIENT,Convenience,/kənˈviːniəns/,n,Sự tiện lợi
CONVENIENT,Inconvenient,/ˌɪnkənˈviːniənt/,a,Bất tiện
CONVERSATION,Conversation,/ˌkɒnvəˈseɪʃn/,n,Cuộc hội thoại
COOPERATE,Cooperate,/kəʊˈɒpəreɪt/,v,Hợp tác; cộng tác
COORDINATION,Coordination,/kəʊˌɔːrdɪˈneɪʃn/,n,Sự phối hợp
COPPER,Copper,/ˈkɒpər/,n,Đồng
COPY,Copy,/ˈkɒpi/,n,Bản sao
COPY,Copy,/ˈkɒpi/,v,Sao chép
