Root word,Word,Phonetic,Type,Vietnamese meaning
NEGATIVE,negative,/ˈneɡətɪv/,a,tiêu cực
NEGATIVE,positive,/ˈpɒzətɪv/,a,tích cực
NEIGHBORHOOD,neighborhood,/ˈneɪbərhʊd/,n,khu vực lân cận; khu phố
NEIGHBORHOOD,neighbor,/ˈneɪbər/,n,hàng xóm; láng giềng
NOMADIC,nomadic,/nəʊˈmædɪk/,a,dân du mục
OBSERVE,observe,/əbˈzɜːrv/,v,quan sát
OBSERVE,observation,/ˌɒbzərˈveɪʃn/,n,sự quan sát
OBSERVE,observant,/əbˈzɜːrvənt/,a,tinh mắt; tinh ý; hay quan sát
OBSERVE,observer,/əbˈzɜːrvər/,n,người quan sát
OBSTACLE,obstacle,/ˈɒbstəkl/,n,trở ngại; chướng ngại vật
OCCUPIED,occupied,/ˈɒkjupaɪd/,a,bị chiếm giữ; được sử dụng
OCCUPIED,occupy,/ˈɒkjupaɪ/,v,chiếm đóng
OCCUPIED,occupation,/ˌɒkjuˈpeɪʃn/,n,nghề nghiệp
OCCUR,occur,/əˈkɜːr/,v,xảy ra
OFFICIAL LANGUAGE,official language,/əˈfɪʃl ˈlæŋɡwɪdʒ/,np,ngôn ngữ chính thức
OFFICIAL LANGUAGE,foreign language,/ˈfɒrən ˈlæŋɡwɪdʒ/,np,ngoại ngữ
OMISSION,omission,/əˈmɪʃn/,n,bỏ sót; thiếu sót
OPPORTUNITY,opportunity,/ˌɒpərˈtjuːnəti/,n,cơ hội
OPTIMISTIC,optimistic,/ˌɒptɪˈmɪstɪk/,a,lạc quan
ORBIT,orbit,/ˈɔːrbɪt/,n,quỹ đạo
ORBIT,orbit,/ˈɔːrbɪt/,v,quanh quỹ đạo
ORIENTATION,orientation,/ˌɔːriənˈteɪʃn/,n,sự định hướng
ORIGINAL,original,/əˈrɪdʒənl/,a,nguyên bản
OUTER SPACE,outer space,/ˌaʊtər ˈspeɪs/,np,ngoài không gian; không gian vũ trụ
OVERSEAS,overseas,/ˌəʊvərˈsiːz/,a,hải ngoại; nước ngoài
OVERSEAS,overseas,/ˌəʊvərˈsiːz/,adv,hải ngoại; nước ngoài
OWL,owl,/aʊl/,n,con cú
PACKAGE HOLIDAY,package holiday,/ˈpækɪdʒ ˈhɒlədeɪ/,np,kỳ nghỉ trọn gói
PALACE,palace,/ˈpæləs/,n,cung điện
PARACHUTE JUMP,parachute jump,/ˈpærəʃuːt dʒʌmp/,np,nhảy dù
PARADISE,paradise,/ˈpærədaɪs/,n,thiên đường
PASSION,passion,/ˈpæʃn/,n,niềm đam mê
PASSION,passionate,/ˈpæʃənət/,a,đam mê; say đắm
PASSPORT,passport,/ˈpæspɔːrt/,n,hộ chiếu
PAVEMENT,pavement,/ˈpeɪvmənt/,n,vỉa hè
PAYMENT,payment,/ˈpeɪmənt/,n,sự chi trả; thanh toán
PEAK,peak,/piːk/,n,đỉnh cao
PENGUIN,penguin,/ˈpeŋɡwɪn/,n,chim cánh cụt
PERCENT,percent,/pərˈsent/,n,phần trăm
PERCENT,percent,/pərˈsent/,a,phần trăm
PERCENT,percent,/pərˈsent/,adv,phần trăm
PERMIT,permit,/pərˈmɪt/,v,cho phép
PERMIT,permission,/pərˈmɪʃn/,n,sự cho phép
PERMIT,permissive,/pərˈmɪsɪv/,a,dễ dãi; thoải mái
PERMIT,permissible,/pərˈmɪsəbl/,a,được phép
PERSONAL,personal,/ˈpɜːrsənl/,a,riêng tư; cá nhân
PHOTOCOPIER,photocopier,/ˈfəʊtəʊkɒpiər/,n,máy phôtô
PHYSICAL,physical,/ˈfɪzɪkl/,a,thuộc vật chất; thuộc thân thể
PHYSICAL,physically,/ˈfɪzɪkli/,adv,về mặt thể chất
PHYSICAL,physics,/ˈfɪzɪks/,n,vật lý
PHYSICAL,physician,/fɪˈzɪʃn/,n,bác sĩ
PHYSICAL,physicist,/ˈfɪzɪsɪst/,n,nhà vật lý
PICKPOCKET,pickpocket,/ˈpɪkpɒkɪt/,n,kẻ móc túi
PLAIN,plain,/pleɪn/,n,đơn giản; trơn
PLANET,planet,/ˈplænɪt/,n,hành tinh
PLASTIC,plastic,/ˈplæstɪk/,n,nhựa
PLATEAUS,plateaus,/plæˈtəʊ/,n,cao nguyên
PLEASED,pleased,/pliːzd/,a,vui lòng; hài lòng
POLAR BEAR,polar bear,/ˈpəʊlər ber/,np,gấu Bắc Cực
POLE,pole,/pəʊl/,n,cực; cột
POLICE-OFFICER,police-officer,/pəˈliːs ɒfɪsər/,n,sĩ quan cảnh sát
POOR POSTURE,poor posture,/pɔːr ˈpɒstʃər/,np,tư thế xấu; tư thế không đúng
PORTABLE,portable,/ˈpɔːrtəbl/,a,cầm tay; có thể mang đi
POSSESS,possess,/pəˈzes/,v,sở hữu
POSSESS,possession,/pəˈzeʃn/,n,vật sở hữu; tài sản
POTTERY,pottery,/ˈpɒtəri/,n,đồ gốm; đồ sứ
PRESERVE,preserve,/prɪˈzɜːrv/,v,bảo tồn; bảo quản
PRESERVE,preservation,/ˌprezərˈveɪʃn/,n,sự bảo tồn; sự bảo quản
PRESSURE,pressure,/ˈpreʃər/,n,áp lực; áp suất
