Root word,Word,Phonetic,Type,Vietnamese meaning
TRIP ITINERARY,Trip itinerary,/trɪp ɪˈtɪnəreri/,np,Hành trình chuyến đi
TROPICAL FOREST,Tropical forest,/ˈtrɒpɪkl ˈfɒrɪst/,np,Rừng nhiệt đới
TEMPERATE FOREST,Temperate forest,/ˈtempərət ˈfɒrɪst/,np,Rừng ôn đới
BOREAL FOREST,Boreal forest,/ˈbɔːriəl ˈfɒrɪst/,np,Rừng phương bắc
TUG OF WAR,Tug of war,/ˌtʌɡ əv ˈwɔːr/,np,Kéo co
UNDERGROUND SYSTEM,Underground system,/ˌʌndərɡraʊnd ˈsɪstəm/,np,Hệ thống tàu điện ngầm
UNDERWATER,Underwater,/ˌʌndərˈwɔːtər/,a,Dưới nước
UNDERWATER,Underwater,/ˌʌndərˈwɔːtər/,adv,Dưới nước
UNIFORM,Uniform,/ˈjuːnɪfɔːrm/,n,Đồng phục
UNIQUE,Unique,/juːˈniːk/,a,Độc nhất
PLEASE,Unpleasant,/ʌnˈpleznt/,a,Khó chịu
PLEASE,Pleasant,/ˈpleznt/,a,Dễ chịu
PLEASE,Pleasure,/ˈpleʒər/,n,Niềm vui thích; điều thú vị
PLEASE,Pleased,/pliːzd/,a,Hài lòng
PLEASE,Please,/pliːz/,v,Làm hài lòng
URGENT,Urgent,/ˈɜːrdʒənt/,a,Tính cấp bách;; tính khẩn cấp
URGENT,Urgency,/ˈɜːrdʒənsi/,n,Sự cấp bách; sự khẩn cấp
VACATION,Vacation,/veɪˈkeɪʃn/,n,Kì nghỉ
VALLEY,Valley,/ˈvæli/,n,Thung lũng
VARY,Variety,/vəˈraɪəti/,n,Sự đa dạng
VARY,Vary,/ˈveri/,v,Thay đổi; dao động
VARY,Various,/ˈveriəs/,a,Nhiều; đa dạng
VARY,Variable,/ˈveriəbl/,a,Có thể thay đổi
VEHICLE,Vehicle,/ˈviːəkl/,n,Phương tiện giao thông; xe cộ
VENUS,Venus,/ˈviːnəs/,n,Sao Kim
VINEGAR,Vinegar,/ˈvɪnɪɡər/,n,Giấm
VIRTUAL,Virtual,/ˈvɜːrtʃuəl/,a,Ảo
VISA,Visa,/ˈviːzə/,n,Thị thực
VOCABULARY,Vocabulary,/vəˈkæbjələri/,n,Từ vựng
VOCATIONAL COLLEGE,Vocational college,/vəʊˈkeɪʃənl ˈkɑːlɪdʒ/,np,Trường cao đẳng nghề
VOLCANO,Volcano,/vɒlˈkeɪnəʊ/,n,Núi lửa
VOWEL,Vowel,/ˈvaʊəl/,n,Nguyên âm
WATERFALL,Waterfall,/ˈwɔːtərfɔːl/,n,Thác nước
WELL-BALANCED,Well-balanced,/ˌwel ˈbæləntst/,a,Cân bằng tốt
WELL-PAID,Well-paid,/ˌwel ˈpeɪd/,a,Được trả lương cao
WILDLIFE,Wildlife,/ˈwaɪldlaɪf/,n,Động vật hoang dã
WINDOW SHADE,Window shade,/ˈwɪndəʊ ʃeɪd/,np,Màn che cửa sổ
WIRELESS,Wireless,/ˈwaɪərləs/,a,Không dây
WORK OF ART,Work of art,/ˌwɜːrk əv ˈɑːrt/,np,Tác phẩm nghệ thuật
WORKSHOP,Workshop,/ˈwɜːrkʃɑːp/,n,Hội thảo; xưởng
WORSHIP,Worship,/ˈwɜːrʃɪp/,n,Tôn thờ
WRAP,Wrap,/ræp/,v,Bọc; quấn
