Root word,Word,Phonetic,Type,Vietnamese meaning
ECOSYSTEM,Ecosystem,/ˈiːkəʊsɪstəm/,n,Hệ sinh thái
ECO-TOUR,Eco-tour,/ˈiːkəʊtʊər/,n,Du lịch sinh thái
EDUCATE,Educational,/ˌedʒʊˈkeɪʃənl/,a,Thuộc giáo dục
EDUCATE,Non-educational,/ˌnɒn ˌedʒʊˈkeɪʃənl/,a,Không mang tính giáo dục
EDUCATE,Educated,/ˈedʒʊkeɪtɪd/,a,Có học thức; có giáo dục
EDUCATE,Educative,/ˈedʒʊkeɪtɪv/,a,Mang tính giáo dục
EDUCATE,Educate,/ˈedʒʊkeɪt/,v,Giáo dục; đào tạo
EDUCATE,Education,/ˌedʒʊˈkeɪʃn/,n,Giáo dục
EDUCATE,Educator,/ˈedʒʊkeɪtər/,n,Nhà giáo dục
EFFORT,Effort,/ˈefərt/,n,Nỗ lực
ELECTRICAL WIRE,Electrical wire,/ɪˌlektrɪkl ˈwaɪər/,np,Dây điện
ELECTRICIAN,Electrician,/ɪˌlekˈtrɪʃn/,n,Thợ điện
ELECTRONIC DEVICE,Electronic device,/ɪˌlektrɒnɪk dɪˈvaɪs/,np,Thiết bị điện tử
EMBARRASS,Embarrassing,/ɪmˈbærəsɪŋ/,a,Ngượng ngùng
EMBARRASS,Embarrassed,/ɪmˈbærəst/,a,Lúng túng; xấu hổ
EMBARRASS,Embarrass,/ɪmˈbærəs/,v,Gây xấu hổ
EMBARRASS,Embarrassment,/ɪmˈbærəsmənt/,n,Sự lúng túng; sự xấu hổ
DANGER,Danger,/ˈdeɪndʒər/,n,Sự nguy hiểm
DANGER,Dangerous,/ˈdeɪndʒərəs/,a,Nguy hiểm
ENDANGER,Endanger,/ɪnˈdeɪndʒər/,v,Gây nguy hiểm
ENDANGER,Endangered,/ɪnˈdeɪndʒərd/,a,Bị đe dọa; có nguy cơ tuyệt chủng
ENJOY,Enjoyable,/ɪnˈdʒɔɪəbl/,a,Thú vị
ENTRANCE TICKET,Entrance ticket,/ˈentrəns ˈtɪkɪt/,np,Vé vào cổng
ENVIRONMENT,Environment,/ɪnˈvaɪrənmənt/,n,Môi trường
ENVIRONMENT,Environmentalist,/ɪnˌvaɪrənˈmentəlɪst/,n,Nhà môi trường học; nhà bảo vệ môi trường
ENVIRONMENT,Environmental,/ɪnˌvaɪrənˈmentl/,a,Thuộc về môi trường
ENVIRONMENT,Environmentally,/ɪnˌvaɪrənˈmentəli/,adv,Liên quan đến môi trường
EQUIPMENT,Equipment,/ɪˈkwɪpmənt/,n,Trang thiết bị
E-READER,E-reader,/ˈiːriːdər/,n,Máy đọc sách điện tử
ERUPTION,Eruption,/ɪˈrʌpʃn/,n,Sự phun trào
ESTIMATE,Estimate,/ˈestɪmeɪt/,v,Ước lượng
EXCHANGE STUDENT,Exchange student,/ɪksˈtʃeɪndʒ ˈstjuːdnt/,np,Sinh viên trao đổi
EXHILARATE,Exhilarating,/ɪɡˈzɪləreɪtɪŋ/,a,Phấn khởi
EXPAND,Expand,/ɪkˈspænd/,v,Mở rộng
EXPERIENCE,Experience,/ɪkˈspɪriəns/,n,Kinh nghiệm; trải nghiệm
EXPERIENCE,Experience,/ɪkˈspɪriəns/,v,Trải qua
EXPLORE,Explore,/ɪkˈsplɔːr/,v,Khám phá
EXPLORE,Exploration,/ˌekspləˈreɪʃn/,n,Sự thăm dò; sự khám phá
EXPLORE,Explorer,/ɪkˈsplɔːrər/,n,Nhà thám hiểm
EXTENDED FAMILY,Extended family,/ɪkˌstendɪd ˈfæməli/,np,Đại gia đình; gia đình từ 3 thế hệ
EYE STRAIN,Eye strain,/ˈaɪ streɪn/,np,Mỏi mắt
FABRIC,Fabric,/ˈfæbrɪk/,n,Vải vóc
FACILITY,Facility,/fəˈsɪləti/,n,Cơ sở vật chất
FAMILY VALUES,Family values,/ˌfæməli ˈvæljuːz/,np,Các giá trị gia đình
FAMILY-ORIENTED,Family-oriented,/ˌfæməli ˈɔːriəntɪd/,a,Hướng về gia đình
