Root word,Word,Phonetic,Type,Vietnamese meaning
ATTRACT,Attract,/əˈtrækt/,v,Thu hút
ATTRACT,Attraction,/əˈtrækʃən/,n,Sự thu hút; sức hấp dẫn
ATTRACT,Attractiveness,/əˈtræktɪvnəs/,n,Sức hấp dẫn
ATTRACT,Unattractiveness,/ˌʌnəˈtræktɪvnəs/,n,Không có sức hấp dẫn
ATTRACT,Unattractive,/ˌʌnəˈtræktɪv/,adj,Không hấp dẫn
ATTRACT,Attractive,/əˈtræktɪv/,adj,Thu hút; hấp dẫn; lôi cuốn; quyến
ATTRACT,Attractively,/əˈtræktɪvli/,adv,Một cách hấp dẫn
ATTRACT,Unattractively,/ˌʌnəˈtræktɪvli/,adv,Một cách không hấp dẫn
CONGEST,Congest,/kənˈdʒest/,v,Làm đông người; tắc nghẽn
CONGEST,Congestion,/kənˈdʒestʃən/,n,Sự tắc nghẽn
CONGEST,Congested,/kənˈdʒestɪd/,adj,Tắc nghẽn
CROP,Crop,/krɒp/,n,Vụ mùa
DIRECT,Direct,/dəˈrekt/,v,Chỉ huy; điều khiển
DROP,Drop,/drɒp/,v,Giảm xuống
HOMELESS,Homeless,/ˈhəʊmləs/,adj,Vô gia cư
IN CHARGE OF,(to be) in charge of,/biː ɪn tʃɑːrdʒ əv/,idiom,Phụ trách
OWN,Own,/əʊn/,v,Sở hữu
OWN,Owner,/ˈəʊnər/,n,Người chủ
OWN,On one's own,/ɒn wʌnz əʊn/,idiom,Một mình
OWN,Of one's own,/əv wʌn əʊn/,idiom,Thuộc về bản thân
RISE,Rise,/raɪz/,v,Tăng lên; mọc
RISE,Rise,/raɪz/,n,Sự tăng
