Root word,Word,Phonetic,Type,Vietnamese meaning
BORDER,Border,/ˈbɔːrdər/,n,Biên giới
SUMMIT,Summit,/ˈsʌmɪt/,n,Đỉnh; điểm cao nhất
SUMMIT,Summitless,/ˈsʌmɪtlɪs/,adj,Không có đỉnh; không có cao điểm
WONDER,Wonder,/ˈwʌndər/,n,Kỳ quan
WONDER,Wonderful,/ˈwʌndərfəl/,adj,Tuyệt vời
WONDER,Wonderfully,/ˈwʌndərfəli/,adv,Một cách tuyệt vời
WONDER,Wondrous,/ˈwʌndrəs/,adj,Kỳ diệu
LIMIT,Limit,/ˈlɪmɪt/,v,Giới hạn; hạn chế
LIMIT,Limit,/ˈlɪmɪt/,n,Giới hạn; ranh giới
LIMIT,Limitation,/ˌlɪmɪˈteɪʃən/,n,Sự/tình hạn chế; giới hạn
LIMIT,Limitations,/ˌlɪmɪˈteɪʃənz/,n,Nhược điểm; mặt hạn chế
LIMIT,Limited,/ˈlɪmɪtɪd/,adj,Bị hạn chế
SEA LEVEL,Sea level,/siː ˈlevəl/,n,Mức nước biển
VOLUME,Volume,/ˈvɒljuːm/,n,Thể tích; khối lượng
