Root word,Word,Phonetic,Type,Vietnamese meaning
COMMUNICATE,Communicate,/kəˈmjuːnɪkeɪt/,v,Giao tiếp; truyền đạt
COMMUNICATE,Communication,/kəˌmjuːnɪˈkeɪʃən/,n,Sự giao tiếp; hình thức giao tiếp
COMMUNICATE,Communicator,/kəˈmjuːnɪkeɪtər/,n,Người truyền đạt
COMMUNICATE,Communicative,/kəˈmjuːnɪkətɪv/,adj,Sẵn lòng chia sẻ thông tin; có tính giao tiếp
COMMUNICATE,Uncommunicative,/ˌʌnkəˈmjuːnɪkətɪv/,adj,Không thích giao tiếp
COMMUNICATE,Communicable,/kəˈmjuːnɪkəbəl/,adj,Dễ lây; có thể lây
COMMUNICATE,Communicatively,/kəˈmjuːnɪkətɪvli/,adv,Một cách giao tiếp
COMMUNICATE,Communicably,/kəˈmjuːnɪkəbli/,adv,Một cách có thể lây
SUMMARIZE,Summarize,/ˈsʌməraɪz/,v,Tóm tắt
SUMMARIZE,Summary,/ˈsʌməri/,n,Bản tóm tắt
SUMMARIZE,In summary,/ɪn ˈsʌməri/,idiom,Nói tóm lại
