Root word,Word,Phonetic,Type,Vietnamese meaning
CONVENIENT,Convenience store,/kənˈviːniəns stɔːr/,n,Cửa hàng tiện lợi
CONVENIENT,Convenient,/kənˈviːniənt/,adj,Tiện lợi
CONVENIENT,Inconvenient,/ˌɪn.kənˈviː.ni.ənt/,adj,Không tiện lợi
CONVENIENT,Conveniently,/kənˈviːniəntli/,adv,Một cách tiện lợi
EMBASSY,Embassy,/ˈembəsi/,n,Đại sứ quán
GALLERY,Gallery,/ˈɡæləri/,n,Triển lãm; phòng trưng bày
PHARMACY,Pharmacy,/ˈfɑːrməsi/,n,Nhà thuốc
PHARMACY,Pharmacist,/ˈfɑːrməsɪst/,n,Dược sĩ
SIM CARD,SIM card,/sɪm kɑːrd/,n,SIM điện thoại
TOP UP,Top up,/tɒp ʌp/,phr.v,Nạp thêm; làm đầy
