Root word,Word,Phonetic,Type,Vietnamese meaning
APPRENTICE,Apprentice,/əˈprentɪs/,v,Học nghề; học việc
APPRENTICE,Apprenticeship,/əˈprentɪsʃɪp/,n,Kỳ thực tập
APPRENTICE,Apprentice,/əˈprentɪs/,n,Người học việc
APPRENTICE,Apprentice,/əˈprentɪs/,adj,Đang học việc; học nghề
ASTRONAUT,Astronaut,/ˈæstrənɔːt/,n,Phi hành gia
IMPLY,Imply,/ɪmˈplaɪ/,v,Gợi ý; hàm ý
IMPLY,Implication,/ˌɪmplɪˈkeɪʃən/,n,Hàm ý; sự hiểu ngầm
MECHANIZE,Mechanize,/ˈmekənaɪz/,v,Cơ giới hoá
MECHANIZE,Mechanic,/mɪˈkænɪk/,n,Thợ máy
MECHANIZE,Machine,/məˈʃiːn/,n,Cỗ máy
MECHANIZE,Mechanical,/mɪˈkænɪkəl/,adj,Thuộc về máy móc
MECHANIZE,Mechanically,/mɪˈkænɪkli/,adv,Một cách máy móc
EXPERT,Expert,/ˈekspɜːrt/,n,Chuyên gia
EXPERT,Expert,/ˈekspɜːrt/,adj,Mang tính chuyên gia
EXPERT,Expertise,/ˌekspɜːrˈtiːz/,n,Chuyên môn
