Root word,Word,Phonetic,Type,Vietnamese meaning
BAKE,Bake,/beɪk/,v,Nướng bánh
BAKE,Bakery,/ˈbeɪkəri/,n,Tiệm bánh
BAKE,Baker,/ˈbeɪkər/,n,Thợ làm bánh
BED AND BREAKFAST,Bed and breakfast,/bed ənd ˈbrekfəst/,n,Nhà trọ; khách sạn bao gồm bữa sáng
DUMPLING,Dumpling,/ˈdʌmplɪŋ/,n,Sủi cảo; há cảo
FANNY PACK,Fanny pack,/ˈfæni pæk/,n,Túi đeo hông; ngang eo
HOSTEL,Hostel,/ˈhɒstəl/,n,Nhà trọ; nhà nghỉ giá rẻ
MONUMENT,Monument,/ˈmɒnjumənt/,n,Tượng đài
PASTRY,Pastry,/ˈpeɪstri/,n,Bánh ngọt; bánh bột nhào
ROLLER COASTER,Roller coaster,/ˈrəʊlər ˌkəʊstər/,n,Tàu lượn siêu tốc
SOCKET ADAPTER,Socket adapter,/ˈsɒkɪt əˈdæptər/,n,Bộ chuyển đổi ổ cắm điện
SUNBLOCK,Sunblock,/ˈsʌnblɒk/,n,Kem chống nắng
