Root word,Word,Phonetic,Type,Vietnamese meaning
BUNK BED,Bunk bed,/bʌŋk bed/,n,Giường tầng
NEIGHBORHOOD,Neighborhood,/ˈneɪbərhʊd/,n,Khu phố
NEIGHBORHOOD,Neighbor,/ˈneɪbər/,n,Hàng xóm
CURTAIN,Curtain,/ˈkɜːrtən/,n,Màn cửa; rèm cửa
NEARBY,Nearby,/ˌnɪərˈbaɪ/,adj,Gần; không xa
NEARBY,Nearby,/ˌnɪərˈbaɪ/,adv,Gần đây
SPA,Spa,/spɑː/,n,Nơi thư giãn; chăm sóc sắc đẹp
FLAT-SCREEN,Flat-screen,/ˈflæt skriːn/,n,Màn hình phẳng
AIR CONDITIONER,Air conditioner,/eər kənˈdɪʃənər/,n,Máy lạnh; điều hoà
AIR CONDITIONER,Air conditioning,/eər kənˈdɪʃənɪŋ/,n,Hệ thống điều hoà không khí trong toà nhà
AIR CONDITIONER,Air-conditioned,/eər kənˈdɪʃənd/,adj,Có điều hoà
GAME CONSOLE,Game console,/ɡeɪm ˈkɒnsəʊl/,n,Máy điều khiển trò chơi điện tử
