Root word,Word,Phonetic,Type,Vietnamese meaning
ACCESS,Access,/ˈækses/,v,Tiếp cận
ACCESS,Access,/ˈækses/,n,Sự tiếp cận
ACCESS,Accessible,/əkˈsesɪbəl/,adj,Có thể tiếp cận
ACCESS,Inaccessible,/ɪnəkˈsesəbəl/,adj,Không thể tiếp cận
ACCESS,Inaccessibly,/ˌɪnəkˈsesɪbli/,adv,Khó tiếp cận; khó hiểu
ADDICT,Addict,/ˈædɪkt/,n,Người nghiện; say mê cái gì
ADDICT,Addicted,/əˈdɪktɪd/,adj,Nghiện
ADDICT,Addictive,/əˈdɪktɪv/,adj,Gây nghiện; làm cho nghiện
ADDICT,Addiction,/əˈdɪkʃən/,n,Thói nghiện
CAFETERIA,Cafeteria,/ˌkæfɪˈtɪəriə/,n,Căn tin
CITY COUNCIL,City council,/ˈsɪti ˈkaʊnsəl/,n,Hội đồng thành phố
MAINTAIN,Maintain,/meɪnˈteɪn/,v,Duy trì
MAINTAIN,Maintainer,/meɪnˈteɪnər/,n,Người bảo trì; thợ bảo dưỡng
MAINTAIN,Maintenance,/ˈmeɪntənəns/,n,Sự duy trì; bảo dưỡng
MAINTAIN,Maintainable,/meɪnˈteɪnəbəl/,adj,Có thể duy trì
NAP,Nap,/næp/,v,Chợp mắt ngủ tí
NAP,Nap,/næp/,n,Giấc ngủ ngắn
NOURISH,Nourish,/ˈnʌrɪʃ/,v,Nuôi dưỡng; ấp ủ
NOURISH,Nourishment,/ˈnʌrɪʃmənt/,n,Sự nuôi dưỡng; ăn uống
NOURISH,Nourishing,/ˈnʌrɪʃɪŋ/,adj,Bổ dưỡng
OBESITY,Obesity,/əʊˈbiːsɪti/,n,Sự béo phì
OBESITY,Obese,/əʊˈbiːs/,adj,Béo phì
PROMOTE,Promote,/prəˈməʊt/,v,Quảng bá; thúc đẩy
PROMOTE,Promotion,/prəˈməʊʃən/,n,Sự thăng tiến; sự đẩy mạnh
PROMOTE,Promotional,/prəˈməʊʃənəl/,adj,Thuộc quảng cáo (để bán hàng)
RISK,Risk,/rɪsk/,v,Liều
RISK,Risk,/rɪsk/,n,Sự rủi ro; nguy cơ; mạo hiểm
RISK,Risky,/ˈrɪski/,adj,Đầy rủi ro; liều; mạo hiểm
RISK,Riskily,/ˈrɪskɪli/,adv,Một cách rủi ro; mạo hiểm
